n_id,type,src,question,prompt,response,id,target,participant,response_num
1714,instances,setal08,What is a surprising thing that makes a NOISE?,noise,water,setal08_5.0-2b1516,1.0,setal0839,5.0
6348,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,it would take us forever to get from one place to another,setal08_6.0-5d7bbe,1.3,setal08135,9.0
10532,uses,setal08,What is a surprising use for a BRICK?,brick,to add height to an object,setal08_1.0-230958,1.7,setal08221,1.0
1235,uses,betal18,What is a surprising use for a BOX?,box,Chair,betal18_box-7718cc,1.0,betal182144,
32,uses,snb17,What is a surprising use for a BOX?,box,make smaller from it,snb17_box-5508ec,2.3,snb176,
3200,uses,hmsl,What is a surprising use for a BRICK?,brick,Hold open a door,hmsl_brick-d405d1,1.3,hmslmv2wBo0e,3.0
190,uses,betal18,What is a surprising use for a BOX?,box,Bench,betal18_box-860302,1.3,betal182023,
11521,instances,setal08,What is a surprising thing that makes a NOISE?,noise,nails on a chalkboard,setal08_5.0-87e180,1.3,setal08242,10.0
2483,uses,betal18,What is a surprising use for a ROPE?,rope,exercise,betal18_rope-7e4fc8,1.0,betal182123,
577,instances,setal08,What is a surprising thing that makes a NOISE?,noise,pepsi bottle just opened,setal08_5.0-7d48a7,1.3,setal0814,1.0
2885,uses,betal18,What is a surprising use for a ROPE?,rope,human sized web,betal18_rope-cb65c7,3.0,betal182186,
11466,instances,setal08,What is a surprising thing that is ROUND?,round,a round bed - heart shaped or whatever,setal08_2.0-8b705b,1.3,setal08241,1.0
887,uses,dod20,What is a surprising use for a BOTTLE?,bottle,storage,dod20_bottle-754c24,2.0,dod2060,0
4206,uses,dod20,What is a surprising use for a BOTTLE?,bottle,put in cabinet as decoration,dod20_bottle-421cbb,2.5,dod2062,10
3267,uses,hmsl,What is a surprising use for a BRICK?,brick,lay a walkway,hmsl_brick-f6b38d,1.3,hmsleKeAvV0P,5.0
584,uses,snbmo09,What is a surprising use for a BRICK?,brick,use the corner of the brick as a knife,snbmo09_1_brick-0648bb,3.0,snbmo0931,3
4419,instances,setal08,What is a surprising thing that is ROUND?,round,dishware,setal08_2.0-8a576a,1.0,setal0895,22.0
3686,uses,dod20,What is a surprising use for a ROPE?,rope,climbing,dod20_rope-6e0301,1.8,dod2080,0
4336,uses,setal08,What is a surprising use for a KNIFE?,knife,to use as a peace offering or gift,setal08_4.0-6a1bc7,3.0,setal0893,3.0
750,uses,dod20,What is a surprising use for a FORK?,fork,food,dod20_fork-1f17e4,1.0,dod206,0
2651,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,Use the end to poke reset buttons,hmsl_paperclip-5b233b,2.5,hmsl05atXwmG,3.0
3668,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,"less pollution, no cars driving",setal08_6.0-c95ef2,1.0,setal0881,11.0
4813,uses,dod20,What is a surprising use for a FORK?,fork,pitch,dod20_fork-c8b69a,1.7,dod2077,1
2501,uses,dod20,What is a surprising use for PANTS?,pants,throw pillows,dod20_pants-1ff9ba,3.2,dod2033,4
4184,uses,dod20,What is a surprising use for a BOOK?,book,bullet stopper,dod20_book-cc0aa1,3.8,dod2062,4
5472,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,a half a mile walk to class would take hours,setal08_6.0-8c52ba,2.3,setal08115,8.0
7031,instances,setal08,What is a surprising thing that makes a NOISE?,noise,air,setal08_5.0-546588,1.3,setal08148,20.0
215,uses,snbmo09,What is a surprising use for a BOX?,box,make a book bag out of,snbmo09_3_box-88174e,2.0,snbmo0912,6
3329,uses,dod20,What is a surprising use for a SHOVEL?,shovel,it can be used as a weapon,dod20_shovel-d0a33f,3.0,dod2046,2
9817,instances,setal08,What is a surprising thing that makes a NOISE?,noise,fourwheelers,setal08_5.0-998a1a,1.3,setal08205,17.0
1715,uses,snb17,What is a surprising use for a ROPE?,rope,tie,snb17_rope-85e626,1.0,snb1763,
3718,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,no bullies-everyone is the same size,setal08_6.0-cd0bcd,1.3,setal0882,7.0
7399,instances,setal08,What is a surprising thing that is ROUND?,round,pillows that are old,setal08_2.0-919575,1.3,setal08155,4.0
8176,uses,setal08,What is a surprising use for a KNIFE?,knife,instrument,setal08_4.0-c47307,2.3,setal08171,3.0
3734,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,longer time to go out with friends,setal08_3.0-e05b4a,1.7,setal0883,7.0
1712,instances,setal08,What is a surprising thing that makes a NOISE?,noise,dishes,setal08_5.0-9a381d,1.3,setal0839,3.0
1499,uses,snb17,What is a surprising use for a ROPE?,rope,mark starting points during a race,snb17_rope-5c212c,2.3,snb1735,
2012,uses,snbmo09,What is a surprising use for a BRICK?,brick,you could draw a picture on it,snbmo09_1_brick-191b06,2.2,snbmo09101,10
2695,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,"car, cooking tools, everything in the world would have to be small so a person 12 inches can use it",setal08_6.0-c683a7,1.3,setal0861,2.0
6301,uses,setal08,What is a surprising use for a BRICK?,brick,write on sidewalk,setal08_1.0-391b22,2.0,setal08135,8.0
3930,uses,dod20,What is a surprising use for a BOOK?,book,hammer,dod20_book-d987ec,3.7,dod2089,6
813,uses,setal08,What is a surprising use for a KNIFE?,knife,gesture with it while talking,setal08_4.0-708620,2.0,setal0819,4.0
1457,uses,hmsl,What is a surprising use for a BRICK?,brick,Smash something,hmsl_brick-07eed2,1.5,hmslIGFVw40K,2.0
2845,uses,hmsl,What is a surprising use for a BRICK?,brick,breaking it into smaller pieces to have a rock,hmsl_brick-4d4037,2.0,hmsly42hKMsQ,6.0
614,uses,bs12,What is a surprising use for a BRICK?,brick,something to write on,bs12_brick-ec36c1,1.4,bs1242,
6461,uses,setal08,What is a surprising use for a BRICK?,brick,make a trail,setal08_1.0-052cc1,1.0,setal08138,6.0
4472,uses,dod20,What is a surprising use for a BOTTLE?,bottle,put holes on to make an instrument,dod20_bottle-2770ad,4.0,dod2069,3
7915,instances,setal08,What is a surprising thing that is ROUND?,round,stars,setal08_2.0-3182ad,2.0,setal08166,7.0
2827,uses,hmsl,What is a surprising use for a BRICK?,brick,Break for a fire p,hmsl_brick-7d251a,1.7,hmslQnU42iu0,10.0
9773,instances,setal08,What is a surprising thing that is ROUND?,round,grape,setal08_2.0-928d2e,1.0,setal08205,4.0
3458,uses,hmsl,What is a surprising use for a BRICK?,brick,putting a hole in a wall,hmsl_brick-26c871,2.3,hmslgjA0Fn4P,12.0
1369,uses,snb17,What is a surprising use for a ROPE?,rope,to catch stuff,snb17_rope-c623e4,1.0,snb1722,
764,uses,snb17,What is a surprising use for a BOX?,box,drunk people,snb17_box-85b06d,1.0,snb1798,
4759,uses,dod20,What is a surprising use for a BOOK?,book,a stool,dod20_book-30d311,2.8,dod2076,4
3796,uses,hmsl,What is a surprising use for a BRICK?,brick,Wall,hmsl_brick-1c9996,1.3,hmslDXQb2R2M,1.0
114,uses,snbmo09,What is a surprising use for a KNIFE?,knife,sharpen things,snbmo09_2_knife-68912d,1.2,snbmo098,1
3295,uses,snbmo09,What is a surprising use for a BOX?,box,prayer box - stick prayers in them,snbmo09_3_box-f80274,1.5,snbmo09162,2
4887,uses,dod20,What is a surprising use for a SHOVEL?,shovel,use to hold something up,dod20_shovel-3ab8d2,2.3,dod2078,3
7060,instances,setal08,What is a surprising thing that is ROUND?,round,microphones,setal08_2.0-01b440,1.7,setal08149,5.0
789,uses,bs12,What is a surprising use for a BRICK?,brick,roads,bs12_brick-1d31c8,1.0,bs1256,
2185,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,"we could reach anything: cabinets, pedals (car) doorknobs",setal08_6.0-f0cae3,1.0,setal0849,1.0
2391,uses,snbmo09,What is a surprising use for a KNIFE?,knife,coffee stirrer,snbmo09_2_knife-c1d3c2,2.3,snbmo09116,5
4466,uses,dod20,What is a surprising use for a BOOK?,book,stack up to use as table,dod20_book-a18eae,3.5,dod2069,2
8593,uses,setal08,What is a surprising use for a KNIFE?,knife,use it as a protector from things,setal08_4.0-66d963,1.0,setal08182,3.0
10235,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,"nature would be thrown off, like creatures that are usually active when humans are not they would have to deal with humans at all times",setal08_3.0-75a159,2.7,setal08215,1.0
6849,instances,setal08,What is a surprising thing that makes a NOISE?,noise,instrument,setal08_5.0-5382e0,1.0,setal08145,1.0
3404,uses,dod20,What is a surprising use for a BOOK?,book,step stool,dod20_book-722241,2.8,dod2048,3
2296,uses,snb17,What is a surprising use for a ROPE?,rope,tripping people,snb17_rope-7e3b7b,1.3,snb17146,
174,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,8:00 classes wouldn't bother college students,setal08_3.0-a67ec3,3.0,setal085,8.0
1774,uses,bs12,What is a surprising use for a BRICK?,brick,stand on it with one foot and better your balance,bs12_brick-53839f,1.8,bs12132,
9070,instances,setal08,What is a surprising thing that makes a NOISE?,noise,kazoos,setal08_5.0-747ea2,1.0,setal08193,3.0
2259,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,couldn't use same showers,setal08_6.0-19030e,1.3,setal0851,9.0
9279,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,a small peppermint could last our entire lives,setal08_6.0-2704da,2.3,setal08196,6.0
5626,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,death,setal08_6.0-d6c2f4,1.0,setal08118,5.0
11219,uses,setal08,What is a surprising use for a BRICK?,brick,step,setal08_1.0-deba3c,1.0,setal08235,4.0
6106,instances,setal08,What is a surprising thing that makes a NOISE?,noise,bug catcher,setal08_5.0-884ba9,2.0,setal08129,7.0
4135,instances,setal08,What is a surprising thing that is ROUND?,round,wreath,setal08_2.0-90fe5c,1.7,setal0889,3.0
2158,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,knife,hmsl_paperclip-e28a09,2.7,hmslV453P9LD,4.0
376,uses,dod20,What is a surprising use for a BRICK?,brick,to make a brick stove,dod20_brick-9917eb,1.8,dod202,1
1704,uses,dod20,What is a surprising use for a FORK?,fork,bend into jewelry,dod20_fork-c4186b,3.0,dod2018,4
1915,uses,snbmo09,What is a surprising use for a BRICK?,brick,hold mulch in and around a garden,snbmo09_1_brick-703f6d,1.3,snbmo0995,3
2231,uses,snb17,What is a surprising use for a ROPE?,rope,belt,snb17_rope-d0d94a,1.3,snb17136,
2231,uses,betal18,What is a surprising use for a ROPE?,rope,ring,betal18_rope-888579,1.3,betal182082,
2843,uses,dod20,What is a surprising use for a BOOK?,book,to carry to build muscles,dod20_book-ac3a21,3.5,dod2038,4
295,uses,bs12,What is a surprising use for a BRICK?,brick,sculptures,bs12_brick-d3de96,1.4,bs1222,
3211,uses,dod20,What is a surprising use for a ROPE?,rope,curtain tie back,dod20_rope-82d9aa,3.3,dod2044,13
10706,uses,setal08,What is a surprising use for a BRICK?,brick,decoration,setal08_1.0-13000d,1.7,setal08225,5.0
165,uses,dod20,What is a surprising use for a FORK?,fork,weapon,dod20_fork-de2ce5,2.8,dod2019,3
578,uses,bs12,What is a surprising use for a BRICK?,brick,use it as a soap dish,bs12_brick-86a762,3.4,bs1240,
7462,instances,setal08,What is a surprising thing that is ROUND?,round,wheels,setal08_2.0-79bb87,1.0,setal08156,1.0
2513,instances,setal08,What is a surprising thing that makes a NOISE?,noise,couch,setal08_5.0-75d8d8,1.3,setal0857,2.0
617,uses,snbmo09,What is a surprising use for a BRICK?,brick,pound meat,snbmo09_1_brick-c8b2b1,2.7,snbmo0933,5
3289,uses,snbmo09,What is a surprising use for a BRICK?,brick,swimming pool,snbmo09_1_brick-1f3eea,1.5,snbmo09162,4
1597,uses,snbmo09,What is a surprising use for a BOX?,box,to paint on,snbmo09_3_box-6dce04,1.7,snbmo0976,3
10557,instances,setal08,What is a surprising thing that makes a NOISE?,noise,a brick,setal08_5.0-bce8be,1.3,setal08221,1.0
3028,uses,hmsl,What is a surprising use for a BRICK?,brick,conceptual art,hmsl_brick-6b0dad,3.2,hmslYn49gHlm,8.0
1571,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,everyone would have to help each other in order to get into a chair,setal08_6.0-2bff0f,1.7,setal0835,1.0
2708,uses,setal08,What is a surprising use for a BRICK?,brick,put plants in the middle holes,setal08_1.0-899aea,2.0,setal0862,8.0
2960,uses,dod20,What is a surprising use for a BRICK?,brick,brick powder can use for teethcleaning,dod20_brick-0aa9ea,4.7,dod2040,2
652,uses,snb17,What is a surprising use for a BOX?,box,create a transformers type costume with more and paint and stuff,snb17_box-9ed460,2.3,snb1783,
5005,instances,setal08,What is a surprising thing that makes a NOISE?,noise,stomach growling,setal08_5.0-1381a9,1.3,setal08104,7.0
3506,uses,snbmo09,What is a surprising use for a BOX?,box,ship,snbmo09_3_box-cee58a,2.3,snbmo09171,16
4967,instances,setal08,What is a surprising thing that makes a NOISE?,noise,cart,setal08_5.0-3b56d4,1.3,setal08103,11.0
997,uses,hmsl,What is a surprising use for a BRICK?,brick,building,hmsl_brick-fa1669,1.0,hmslrsk3LtAs,2.0
3591,uses,hmsl,What is a surprising use for a BRICK?,brick,to build a wall or foundation,hmsl_brick-d17a82,1.3,hmslqXloCqw4,3.0
153,uses,dod20,What is a surprising use for a BRICK?,brick,book end,dod20_brick-6337d1,3.8,dod201,3
1105,uses,hmsl,What is a surprising use for a BRICK?,brick,doorstop,hmsl_brick-3c84d3,1.2,hmsltZR5oSUa,2.0
828,instances,setal08,What is a surprising thing that makes a NOISE?,noise,bed,setal08_5.0-8c5b0a,1.3,setal0819,7.0
969,uses,snbmo09,What is a surprising use for a KNIFE?,knife,to pry something open,snbmo09_2_knife-855266,1.5,snbmo0948,5
4479,uses,setal08,What is a surprising use for a BRICK?,brick,to give an object weight,setal08_1.0-a642dc,1.7,setal0896,7.0
6798,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,some people couldn't worn,setal08_6.0-45ca50,1.0,setal08144,3.0
1339,uses,betal18,What is a surprising use for a BOX?,box,door,betal18_box-89ca00,1.3,betal182157,
743,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,use to carve or etch something.,hmsl_paperclip-e18b1c,2.8,hmslLN1p6396,5.0
2102,uses,dod20,What is a surprising use for a TIRE?,tire,for a car,dod20_tire-00e864,1.0,dod2024,1
264,uses,hass17,What is a surprising use for a BOTTLE?,bottle,hit someone in the head with it,hass17_bottle-49f61a,1.7,hass179, 4
2417,uses,snbmo09,What is a surprising use for a BOX?,box,pants,snbmo09_3_box-02914f,2.0,snbmo09116,15
85,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,Can be used to etch designs in clay,hmsl_paperclip-ef917f,3.3,hmslFh8745VU,7.0
2133,uses,betal18,What is a surprising use for a ROPE?,rope,zip line,betal18_rope-96bacf,2.7,betal182071,
10337,instances,setal08,What is a surprising thing that makes a NOISE?,noise,toes squishing in mud,setal08_5.0-ecb273,1.7,setal08216,3.0
3114,uses,hmsl,What is a surprising use for a BRICK?,brick,fightomg,hmsl_brick-f3c4dd,1.7,hmslzvXd0H7K,4.0
3389,uses,hmsl,What is a surprising use for a BRICK?,brick,paperweight,hmsl_brick-ed5599,1.5,hmslgIk5xOKf,5.0
923,uses,snb17,What is a surprising use for a BOX?,box,underwear,snb17_box-6f8cae,2.0,snb17117,
4859,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,life expectancy shortened,setal08_3.0-3ccc7a,1.0,setal08102,10.0
6586,instances,setal08,What is a surprising thing that makes a NOISE?,noise,fingernails,setal08_5.0-880150,1.3,setal08141,5.0
419,uses,hass17,What is a surprising use for a BOTTLE?,bottle,Art,hass17_bottle-f6623e,2.0,hass1742, 6
2100,uses,dod20,What is a surprising use for a TIRE?,tire,as a swing,dod20_tire-a936b8,2.5,dod2024,0
2558,uses,dod20,What is a surprising use for a BRICK?,brick,bookend,dod20_brick-0fb985,4.0,dod2054,3
1964,uses,dod20,What is a surprising use for a BOTTLE?,bottle,to send messages from the water,dod20_bottle-a1234c,3.5,dod2023,2
2771,uses,snbmo09,What is a surprising use for a KNIFE?,knife,hammer,snbmo09_2_knife-812df4,2.5,snbmo09136,3
4418,instances,setal08,What is a surprising thing that is ROUND?,round,cups,setal08_2.0-f482ea,1.0,setal0895,21.0
780,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,using it for a Christmas tree ornament,hmsl_paperclip-577daf,2.3,hmslnNBNu992,3.0
10490,uses,setal08,What is a surprising use for a BRICK?,brick,brick oven,setal08_1.0-d7ceaa,1.0,setal08220,5.0
796,uses,hass17,What is a surprising use for a BRICK?,brick,design on,hass17_brick-965b57,2.0,hass1752, 3
2735,uses,betal18,What is a surprising use for a ROPE?,rope,handcuffs,betal18_rope-a784cd,1.0,betal182164,
742,uses,snbmo09,What is a surprising use for a BOX?,box,child playpen,snbmo09_3_box-117415,1.7,snbmo0938,5
6653,instances,setal08,What is a surprising thing that makes a NOISE?,noise,babies,setal08_5.0-5c3f6c,1.0,setal08142,1.0
3541,uses,hmsl,What is a surprising use for a BRICK?,brick,steps,hmsl_brick-fa08cf,1.0,hmslXOCpce4N,6.0
848,uses,hass17,What is a surprising use for a BRICK?,brick,doorstop,hass17_brick-6b4ecd,1.7,hass1736, 4
1041,uses,setal08,What is a surprising use for a KNIFE?,knife,to get the food out of your teeth,setal08_4.0-b14834,1.7,setal0824,6.0
4197,uses,dod20,What is a surprising use for a BOTTLE?,bottle,put a note in and throw it in the sea,dod20_bottle-7471d5,2.8,dod2062,2
2377,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,play dough cutting tool,hmsl_paperclip-a0217c,3.5,hmslwl41F5Rd,4.0
1781,uses,bs12,What is a surprising use for a BRICK?,brick,Trebuchet projectile,bs12_brick-a7bbf7,1.8,bs12133,
699,uses,dod20,What is a surprising use for a SHOVEL?,shovel,dig,dod20_shovel-6e4ddd,1.0,dod2075,0
10079,uses,setal08,What is a surprising use for a BRICK?,brick,carry it for weights,setal08_1.0-1c1852,1.3,setal08212,6.0
1566,uses,hmsl,What is a surprising use for a BRICK?,brick,to weigh things down,hmsl_brick-6ee8ce,2.0,hmsl0ghL50Ke,4.0
10602,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,household appliances inoperable,setal08_6.0-d0d483,1.3,setal08222,1.0
1412,uses,betal18,What is a surprising use for a BOX?,box,weapon,betal18_box-b6db0b,1.0,betal182165,
11200,uses,setal08,What is a surprising use for a KNIFE?,knife,protection,setal08_4.0-167cdf,1.0,setal08234,4.0
7730,instances,setal08,What is a surprising thing that is ROUND?,round,bones,setal08_2.0-03932a,1.7,setal08162,1.0
3852,uses,snbmo09,What is a surprising use for a KNIFE?,knife,put it under a door to see what's on the other side,snbmo09_2_knife-6f1a8f,2.5,snbmo09189,5
3209,uses,hmsl,What is a surprising use for a BRICK?,brick,hotel,hmsl_brick-29ca76,1.5,hmslEoD82940,8.0
1115,uses,bs12,What is a surprising use for a BRICK?,brick,hammer,bs12_brick-e9072d,1.0,bs1282,
1957,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,earrings,hmsl_paperclip-02f7b0,2.0,hmslT7n32j0J,2.0
1366,instances,setal08,What is a surprising thing that makes a NOISE?,noise,pen,setal08_5.0-198258,1.0,setal0831,1.0
1794,uses,dod20,What is a surprising use for a TABLE?,table,poker,dod20_table-207d22,2.0,dod2089,6
4719,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,economy would drop,setal08_6.0-a02a3a,1.7,setal0899,4.0
776,uses,dod20,What is a surprising use for a ROPE?,rope,coaster,dod20_rope-d132f1,4.0,dod206,4
4838,uses,dod20,What is a surprising use for a BOOK?,book,booster for sitting,dod20_book-89ab62,3.3,dod2078,6
1852,uses,hmsl,What is a surprising use for a PAPERCLIP?,paperclip,clasp,hmsl_paperclip-2ab15c,1.8,hmslTz3xw8MP,9.0
4282,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,no one would have a need for a bed,setal08_3.0-6844f8,1.3,setal0892,10.0
1809,uses,snbmo09,What is a surprising use for a KNIFE?,knife,hang items on a wall,snbmo09_2_knife-93e589,2.5,snbmo0989,1
504,uses,snb17,What is a surprising use for a BOX?,box,sled,snb17_box-1ccc1c,1.3,snb1759,
4689,uses,dod20,What is a surprising use for a BRICK?,brick,tie a string to it for a sort of heavy toy,dod20_brick-394994,4.0,dod2075,4
10022,instances,setal08,What is a surprising thing that makes a NOISE?,noise,cigarette,setal08_5.0-b4725b,1.7,setal08210,14.0
1330,uses,dod20,What is a surprising use for a FORK?,fork,stab,dod20_fork-5b086a,2.0,dod2075,1
3754,uses,hmsl,What is a surprising use for a BRICK?,brick,Used around a fireplace,hmsl_brick-414b66,1.5,hmslA04NGLXd,7.0
3740,uses,hmsl,What is a surprising use for a BRICK?,brick,use to hold a tarp down,hmsl_brick-39fcce,1.8,hmslLim9214A,5.0
5356,consequences,setal08,What would be a surprising consequence if PEOPLE NEEDED NO SLEEP?,no sleep,the bed industry ending causing massive layoffs,setal08_3.0-6ad1e8,1.3,setal08114,2.0
8102,instances,setal08,What is a surprising thing that is ROUND?,round,balls,setal08_2.0-960eb3,1.0,setal08170,2.0
3639,uses,snbmo09,What is a surprising use for a BRICK?,brick,paperweight,snbmo09_1_brick-52e7c3,1.0,snbmo09178,11
441,uses,hass17,What is a surprising use for a BOTTLE?,bottle,in a science lab,hass17_bottle-6999c5,4.0,hass1712, 7
99,uses,bs12,What is a surprising use for a BRICK?,brick,computer,bs12_brick-4f1ca7,1.8,bs1210,
3531,uses,hmsl,What is a surprising use for a BRICK?,brick,step stone,hmsl_brick-ffe490,1.5,hmsl16lsiLpf,8.0
496,uses,snbmo09,What is a surprising use for a BOX?,box,storage,snbmo09_3_box-831448,1.0,snbmo0924,4
2918,uses,hmsl,What is a surprising use for a BRICK?,brick,build a structure,hmsl_brick-7faa6a,1.2,hmsl21tqVp1y,1.0
1974,instances,setal08,What is a surprising thing that makes a NOISE?,noise,laundry- washer and dryer,setal08_5.0-493b2a,1.3,setal0844,25.0
10030,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,they would not be able to enjoy swimming in the ocean,setal08_6.0-b120b0,1.3,setal08210,3.0
2941,uses,snbmo09,What is a surprising use for a KNIFE?,knife,use the handle to break things,snbmo09_2_knife-7b244a,2.5,snbmo09145,2
2470,uses,betal18,What is a surprising use for a ROPE?,rope,tie,betal18_rope-ca4b63,1.0,betal182122,
990,uses,betal18,What is a surprising use for a BOX?,box,bed,betal18_box-8e6512,1.0,betal182108,
1792,uses,betal18,What is a surprising use for a ROPE?,rope,three legged race,betal18_rope-fb7372,1.3,betal182025,
516,instances,setal08,What is a surprising thing that is ROUND?,round,stop light,setal08_2.0-962c5d,1.3,setal0813,1.0
741,uses,snb17,What is a surprising use for a BOX?,box,baby holder,snb17_box-83436c,2.0,snb1795,
4260,uses,dod20,What is a surprising use for a SHOVEL?,shovel,posing with smokey the bear,dod20_shovel-95d8a2,4.0,dod2062,4
1173,uses,bs12,What is a surprising use for a BRICK?,brick,throw it in a pool to splash someone,bs12_brick-2d0f8a,1.8,bs1285,
6476,uses,setal08,What is a surprising use for a KNIFE?,knife,cut grass,setal08_4.0-9142e3,1.3,setal08138,6.0
3940,consequences,setal08,What would be a surprising consequence if EVERYONE SHRANK TO 12 INCHES TALL?,shrank,new houses,setal08_6.0-e2997d,1.0,setal0885,4.0
894,uses,betal18,What is a surprising use for a BOX?,box,mouse house,betal18_box-222bb8,1.6,betal182095,
6514,uses,setal08,What is a surprising use for a KNIFE?,knife,cutting food,setal08_4.0-f74087,1.0,setal08139,1.0
3986,instances,setal08,What is a surprising thing that makes a NOISE?,noise,finger feeling wood or glass,setal08_5.0-f61383,1.7,setal0886,5.0
1919,uses,snbmo09,What is a surprising use for a KNIFE?,knife,dig in gardens,snbmo09_2_knife-2c1f2e,1.3,snbmo0995,2
